province,city,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,lat,lon
上海,上海市,28.15,36.241,7.489,37.374,0.61,45.947,3.289,-0.234,288.138,85.172,101197.966,31.173,121.42
云南,临沧市,35.36,49.646,6.387,8.452,0.475,85.61,4.198,0.601,293.705,51.03,83846.372,23.935,99.686
云南,丽江市,19.997,31.19,7.041,3.782,0.52,103.604,4.382,3.005,284.452,59.552,74610.636,26.96,100.515
云南,保山市,35.087,57.377,7.494,10.647,0.49,81.255,4.543,0.504,290.513,62.004,81844.309,24.953,98.962
云南,大理白族自治州,24.572,38.843,6.255,4.204,0.37,97.122,5.732,1.87,287.847,59.949,78092.003,25.726,100.053
云南,德宏傣族景颇族自治州,46.223,67.632,8.496,14.236,0.461,71.421,2.946,-0.47,293.565,58.427,85990.449,24.535,98.052
云南,怒江傈僳族自治州,22.666,31.51,4.62,0.966,0.298,98.167,4.96,2.424,281.336,80.814,72778.284,26.916,98.885
云南,文山壮族苗族自治州,40.51,52.939,13.004,5.278,0.576,85.24,-3.589,-2.262,290.739,62.144,86622.152,23.696,104.735
云南,昆明市,30.011,45.086,8.314,9.901,0.467,97.555,1.92,2.507,288.34,57.904,79273.73,25.384,102.863
云南,昭通市,19.614,37.113,7.079,4.935,0.343,76.562,-1.641,-4.232,279.665,82.134,84480.337,27.667,103.985
云南,普洱市,33.774,47.934,4.565,8.273,0.475,90.801,3.217,1.163,296.139,42.427,85868.415,23.159,100.718
云南,曲靖市,25.457,41.892,10.607,8.749,0.425,76.899,-1.989,-1.131,284.271,65.235,80136.97,25.737,103.929
云南,楚雄彝族自治州,27.042,38.537,6.592,4.204,0.372,97.943,3.85,1.725,290.515,53.92,80953.175,25.328,101.567
云南,玉溪市,29.422,41.707,5.729,5.593,0.419,98.451,2.243,1.625,293.4,49.764,83441.238,24.136,102.217
云南,红河哈尼族彝族自治州,41.069,55.376,7.072,4.979,0.453,102.587,-0.755,2.148,294.177,50.238,85132.355,23.451,103.034
云南,西双版纳傣族自治州,60.465,96.439,4.15,17.485,1.112,86.268,2.167,1.526,298.841,35.447,88800.448,21.939,100.912
云南,迪庆藏族自治州,16.532,23.024,4.0,0.812,0.31,107.377,7.398,4.137,276.918,79.015,67202.955,27.957,99.459
内蒙古,乌兰察布市,19.057,38.108,1.488,0.912,0.19,76.076,4.567,-9.142,273.359,47.016,86285.624,41.691,112.44
内蒙古,乌海市,37.704,142.766,32.876,29.752,0.792,77.395,0.584,-5.18,278.706,19.202,88420.131,39.396,106.856
内蒙古,兴安盟,12.583,17.432,3.761,3.624,0.246,67.067,0.77,-9.676,274.131,75.332,94115.97,46.244,121.341
内蒙古,包头市,11.567,33.612,1.482,1.303,0.185,76.08,2.009,-7.079,274.603,40.037,86455.959,41.549,110.276
内蒙古,呼伦贝尔市,2.666,4.219,1.375,1.736,0.19,78.802,-1.68,-6.863,272.387,55.56,93487.117,49.636,121.171
内蒙古,呼和浩特市,17.763,73.905,3.657,5.383,0.277,76.959,2.677,-8.364,275.078,40.005,86697.909,40.578,111.513
内蒙古,巴彦淖尔市,12.231,20.917,1.316,1.282,0.174,76.856,0.29,-4.636,276.992,27.635,88028.193,41.446,107.582
内蒙古,赤峰市,10.082,46.366,2.645,1.854,0.204,72.083,8.785,-9.53,275.232,54.225,91450.09,43.226,118.892
内蒙古,通辽市,14.543,29.066,5.251,3.98,0.244,63.948,6.441,-4.393,279.335,57.426,97085.576,43.814,121.591
内蒙古,鄂尔多斯市,26.497,76.256,4.156,4.981,0.245,76.408,1.429,-6.409,277.594,27.243,87640.19,39.407,108.63
内蒙古,锡林郭勒盟,14.569,20.862,1.159,0.554,0.17,79.035,5.38,-9.242,272.966,53.639,89105.851,44.179,115.482
内蒙古,阿拉善盟,15.496,18.529,1.489,1.435,0.156,79.69,-1.616,1.779,280.354,19.598,88210.685,40.473,102.467
北京,北京市,23.782,94.408,2.563,7.654,0.277,76.159,4.168,-8.507,282.747,35.109,97741.241,40.158,116.395
台湾,台湾省,7.345,11.088,3.764,14.428,0.13,40.638,1.554,3.915,295.434,73.364,92942.856,23.757,120.975
吉林,吉林市,19.698,52.59,6.182,7.497,0.493,72.28,2.434,6.209,278.024,79.004,96294.794,43.573,126.859
吉林,四平市,21.011,56.113,6.027,8.362,0.414,63.904,5.326,4.503,280.339,67.258,98460.608,43.472,124.386
