province,city,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,lat,lon
上海,上海市,16.068,23.188,5.953,29.736,0.488,57.473,0.4,-1.55,287.856,89.326,101844.949,31.173,121.42
云南,临沧市,17.469,21.565,4.465,5.377,0.49,55.867,2.224,0.684,287.469,58.796,84219.836,23.935,99.686
云南,丽江市,13.681,19.058,5.884,7.921,0.563,64.483,0.644,0.542,279.296,54.41,74875.37,26.96,100.515
云南,保山市,20.283,29.76,4.494,7.493,0.49,53.077,2.36,0.626,285.069,55.906,82163.824,24.953,98.962
云南,大理白族自治州,13.13,20.464,4.008,6.039,0.43,64.443,2.895,0.917,282.787,52.455,78370.654,25.726,100.053
云南,德宏傣族景颇族自治州,24.171,24.852,6.881,7.885,0.418,49.524,0.479,-0.038,287.218,60.237,86387.704,24.535,98.052
云南,怒江傈僳族自治州,9.654,14.0,1.397,1.907,0.219,70.062,1.42,0.451,277.848,64.923,72961.285,26.916,98.885
云南,文山壮族苗族自治州,23.247,41.538,11.12,8.15,0.578,39.642,-0.706,-1.734,284.557,88.504,87025.246,23.696,104.735
云南,昆明市,19.792,33.199,9.945,12.786,0.538,50.768,0.916,1.259,282.642,65.154,79569.093,25.384,102.863
云南,昭通市,28.116,47.153,13.691,14.098,0.594,45.799,-0.869,-2.578,276.534,85.049,84811.003,27.667,103.985
云南,普洱市,13.337,18.709,3.931,5.623,0.301,52.335,1.017,0.363,289.126,60.249,86295.019,23.159,100.718
云南,曲靖市,17.755,35.344,11.482,12.208,0.56,44.051,-0.373,-1.674,279.908,76.015,80433.763,25.737,103.929
云南,楚雄彝族自治州,16.924,21.356,6.715,8.238,0.487,59.682,2.329,0.494,284.864,54.337,81294.501,25.328,101.567
云南,玉溪市,14.014,19.548,5.702,6.325,0.333,63.426,1.06,1.391,287.335,62.523,83815.034,24.136,102.217
云南,红河哈尼族彝族自治州,17.961,27.604,8.774,4.989,0.358,58.921,-0.633,1.33,287.796,78.947,85525.649,23.451,103.034
云南,西双版纳傣族自治州,17.535,30.472,5.18,7.64,0.302,40.157,0.217,0.393,291.528,67.501,89275.367,21.939,100.912
云南,迪庆藏族自治州,6.916,8.644,1.667,2.531,0.279,74.476,2.382,0.189,273.682,64.154,67368.599,27.957,99.459
内蒙古,乌兰察布市,6.166,11.518,4.225,4.382,0.294,54.141,6.494,-1.79,264.703,45.505,86353.78,41.691,112.44
内蒙古,乌海市,18.646,38.325,18.249,28.05,0.608,54.99,5.079,-2.355,269.654,47.41,88545.323,39.396,106.856
