province,city,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,lat,lon
上海,上海市,60.461,72.61,11.647,50.516,0.932,32.638,-1.48,-3.803,278.905,80.09,102486.647,31.173,121.42
云南,临沧市,16.391,22.634,4.561,8.837,0.702,52.926,4.284,2.678,284.56,72.507,83718.918,23.935,99.686
云南,丽江市,11.677,20.123,3.626,6.451,0.58,72.796,9.263,3.583,277.013,46.242,74132.109,26.96,100.515
云南,保山市,16.453,31.994,5.029,11.913,0.665,44.15,4.387,2.358,281.999,69.447,81638.801,24.953,98.962
云南,大理白族自治州,13.242,25.043,4.333,7.192,0.643,62.527,7.414,3.966,279.657,63.213,77761.491,25.726,100.053
云南,德宏傣族景颇族自治州,20.167,29.669,5.65,13.836,0.553,43.718,1.228,1.357,284.35,71.681,85903.042,24.535,98.052
云南,怒江傈僳族自治州,8.67,15.611,1.665,2.635,0.342,71.742,5.483,3.887,273.641,63.903,72310.867,26.916,98.885
云南,文山壮族苗族自治州,22.814,38.358,9.568,7.47,0.648,40.912,2.474,4.843,286.103,90.069,86333.282,23.696,104.735
云南,昆明市,17.193,32.09,10.402,15.519,0.682,55.991,9.024,5.227,281.964,67.613,78899.999,25.384,102.863
云南,昭通市,26.243,37.711,9.338,11.713,0.917,52.305,5.349,2.556,279.399,61.171,83600.904,27.667,103.985
云南,普洱市,17.224,23.284,4.606,5.389,0.44,53.099,2.777,1.705,286.564,81.68,85810.513,23.159,100.718
云南,曲靖市,14.1,24.767,9.123,10.972,0.465,61.722,10.411,5.712,283.074,59.479,79629.084,25.737,103.929
云南,楚雄彝族自治州,16.552,26.473,6.7,8.441,0.693,60.94,7.229,5.118,282.9,63.116,80664.975,25.328,101.567
云南,玉溪市,14.188,25.608,5.625,7.38,0.461,62.758,5.6,3.75,285.226,74.271,83251.689,24.136,102.217
云南,红河哈尼族彝族自治州,15.203,27.43,7.553,5.571,0.407,55.979,2.587,3.141,285.965,87.844,84972.541,23.451,103.034
云南,西双版纳傣族自治州,18.242,25.658,5.391,5.784,0.422,36.499,0.677,0.966,288.739,95.233,88812.99,21.939,100.912
云南,迪庆藏族自治州,5.862,8.772,1.872,1.5,0.25,84.172,9.411,4.39,268.51,66.677,66585.947,27.957,99.459
内蒙古,乌兰察布市,19.103,30.148,13.953,16.544,0.708,41.931,-1.033,1.064,260.83,51.767,86117.638,41.691,112.44
内蒙古,乌海市,60.768,84.588,29.426,21.012,0.978,57.102,-0.134,0.455,264.4,86.494,87788.138,39.396,106.856
内蒙古,兴安盟,2.975,3.855,2.725,1.972,0.26,52.589,8.218,-3.541,262.018,57.841,95020.044,46.244,121.341
内蒙古,包头市,36.275,55.935,21.542,29.463,1.025,28.288,-1.724,1.614,261.976,58.202,86029.501,41.549,110.276
内蒙古,呼伦贝尔市,2.121,2.501,3.098,2.647,0.243,48.306,7.66,-0.86,258.753,75.595,93425.107,49.636,121.171
内蒙古,呼和浩特市,46.588,78.545,31.597,43.467,1.395,23.676,-3.18,1.105,264.051,54.146,86429.047,40.578,111.513
内蒙古,巴彦淖尔市,29.398,43.63,16.843,17.603,0.66,32.991,-1.457,-0.183,261.566,72.421,87514.394,41.446,107.582
内蒙古,赤峰市,7.709,11.596,5.299,4.896,0.404,54.531,5.672,-3.069,263.722,55.827,92340.869,43.226,118.892
内蒙古,通辽市,8.61,12.557,5.708,5.017,0.352,42.827,6.041,-2.798,264.983,51.864,98520.924,43.814,121.591
内蒙古,鄂尔多斯市,68.062,91.396,31.486,32.248,1.275,34.864,-1.633,1.417,264.537,83.081,87085.5,39.407,108.63
内蒙古,锡林郭勒盟,2.912,3.829,2.984,2.022,0.26,57.943,2.617,0.033,258.325,70.851,89429.095,44.179,115.482
内蒙古,阿拉善盟,27.217,34.217,10.663,5.172,0.402,37.218,2.338,-2.576,261.05,81.752,87863.926,40.473,102.467
北京,北京市,14.804,24.793,4.886,26.195,0.507,37.95,0.509,-2.646,269.434,34.822,98758.886,40.158,116.395
台湾,台湾省,11.865,17.24,4.649,14.707,0.253,50.179,-3.358,-2.207,288.567,85.129,93180.683,23.757,120.975
吉林,吉林市,52.639,67.935,17.264,25.299,0.968,42.217,4.192,2.588,259.778,75.25,97593.009,43.573,126.859
