province,city,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,lat,lon
上海,上海市,54.488,71.433,12.988,44.096,0.633,75.712,-2.389,3.676,286.169,86.677,101955.22,31.173,121.42
云南,临沧市,75.748,96.268,5.812,20.765,1.166,80.642,1.61,2.204,290.877,61.452,83903.702,23.935,99.686
云南,丽江市,30.385,44.996,7.012,5.766,0.793,89.821,-0.143,-0.056,279.288,78.803,74761.184,26.96,100.515
云南,保山市,67.095,79.809,6.147,17.03,1.086,60.821,0.353,-0.443,287.513,68.534,81885.517,24.953,98.962
云南,大理白族自治州,49.063,68.194,6.723,11.157,0.858,85.561,-0.613,-1.736,282.893,74.357,78193.591,25.726,100.053
云南,德宏傣族景颇族自治州,73.941,77.536,6.953,22.264,1.138,52.253,1.356,-0.14,291.323,60.973,86025.766,24.535,98.052
云南,怒江傈僳族自治州,33.763,44.189,3.753,3.776,0.492,91.283,-1.715,0.369,277.821,82.773,72812.561,26.916,98.885
云南,文山壮族苗族自治州,38.562,51.572,7.418,5.372,0.631,74.343,-1.387,5.896,288.255,88.399,86690.986,23.696,104.735
云南,昆明市,51.306,72.058,9.388,17.422,0.967,74.137,0.413,1.522,284.521,86.13,79329.592,25.384,102.863
云南,昭通市,27.068,46.011,14.396,7.485,0.629,66.074,-1.409,-1.897,283.288,83.447,84390.294,27.667,103.985
云南,普洱市,55.771,76.67,5.761,10.908,0.835,90.041,-0.396,4.495,291.717,69.691,85981.351,23.159,100.718
云南,曲靖市,27.881,44.624,10.789,13.625,0.798,57.82,-3.154,1.437,283.622,93.451,80159.706,25.737,103.929
云南,楚雄彝族自治州,53.982,74.052,8.87,11.274,0.871,78.044,-0.054,0.057,285.292,79.952,81083.148,25.328,101.567
云南,玉溪市,50.267,76.69,6.447,8.775,0.888,92.847,-0.278,5.045,288.442,82.658,83532.267,24.136,102.217
云南,红河哈尼族彝族自治州,44.323,61.381,6.521,5.337,0.648,94.808,-2.151,5.67,288.347,87.922,85264.46,23.451,103.034
云南,西双版纳傣族自治州,47.139,70.289,5.959,15.323,0.824,65.669,-1.117,4.16,294.088,66.957,88963.011,21.939,100.912
云南,迪庆藏族自治州,20.162,30.296,3.456,2.478,0.498,101.275,1.61,1.208,274.09,79.664,67260.245,27.957,99.459
内蒙古,乌兰察布市,86.786,121.679,5.544,8.586,0.365,52.154,8.405,-1.108,285.178,27.88,85463.395,41.691,112.44
内蒙古,乌海市,59.504,208.966,26.768,35.618,0.634,63.218,6.721,-1.74,289.094,19.19,87545.385,39.396,106.856
内蒙古,兴安盟,32.609,57.868,3.869,2.776,0.249,62.187,7.297,2.632,282.864,40.948,93227.448,46.244,121.341
内蒙古,包头市,69.381,95.367,6.014,10.137,0.442,51.68,7.494,-1.728,285.815,26.872,85534.015,41.549,110.276
内蒙古,呼伦贝尔市,15.459,21.405,3.19,2.681,0.209,62.004,2.861,0.998,274.796,63.148,91735.947,49.636,121.171
内蒙古,呼和浩特市,66.121,167.115,12.934,28.909,0.732,45.834,6.447,-0.681,286.059,27.91,85928.327,40.578,111.513
内蒙古,巴彦淖尔市,66.849,82.768,1.885,2.539,0.231,54.663,7.56,-1.045,287.429,22.948,86991.59,41.446,107.582
内蒙古,赤峰市,99.885,123.178,5.008,4.747,0.319,58.746,8.239,1.525,287.274,27.326,90837.614,43.226,118.892
内蒙古,通辽市,76.488,118.568,10.917,9.039,0.505,75.0,3.771,4.004,288.2,37.155,96528.412,43.814,121.591
内蒙古,鄂尔多斯市,45.829,112.125,11.507,18.123,0.429,56.078,7.998,-1.143,287.997,22.985,86821.745,39.407,108.63
内蒙古,锡林郭勒盟,110.547,120.045,1.396,0.847,0.177,56.017,8.777,0.702,284.281,29.373,88096.262,44.179,115.482
内蒙古,阿拉善盟,31.31,43.496,1.326,1.674,0.181,61.698,6.05,-1.316,288.592,20.843,87421.438,40.473,102.467
北京,北京市,122.418,149.905,11.745,57.0,0.911,67.245,3.552,0.116,293.827,19.718,96854.401,40.158,116.395
台湾,台湾省,23.739,27.715,6.727,17.045,0.232,79.184,-0.585,-2.058,289.384,76.244,93179.282,23.757,120.975
吉林,吉林市,61.597,97.492,18.187,9.742,0.94,172.899,4.925,10.348,286.112,49.289,96192.904,43.573,126.859
吉林,四平市,73.158,140.67,21.598,18.142,0.956,130.834,4.197,11.295,287.203,53.242,98216.082,43.472,124.386
吉林,延边朝鲜族自治州,73.276,93.565,20.131,14.229,0.909,117.509,6.55,6.774,284.288,46.774,93473.671,43.141,129.147
吉林,松原市,62.276,143.153,13.572,13.131,0.668,104.628,2.916,6.912,286.951,38.791,98352.864,44.785,124.496
