province,city,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,lat,lon
上海,上海市,8.744,20.611,6.075,10.421,0.368,33.418,0.044,-3.445,300.645,87.877,98985.328,31.173,121.42
云南,临沧市,11.315,14.911,2.872,3.17,0.302,50.525,3.208,-0.644,294.096,82.509,83409.669,23.935,99.686
云南,丽江市,16.228,24.855,6.094,3.64,0.412,73.87,0.553,0.759,290.841,68.927,74418.985,26.96,100.515
云南,保山市,12.088,18.888,4.364,4.228,0.315,53.098,2.42,0.191,293.052,83.108,81444.189,24.953,98.962
云南,大理白族自治州,13.11,21.107,4.842,4.311,0.347,71.165,1.643,0.386,292.678,70.493,77765.068,25.726,100.053
云南,德宏傣族景颇族自治州,10.164,14.036,4.885,3.118,0.193,46.239,2.015,0.022,294.241,87.804,85557.478,24.535,98.052
云南,怒江傈僳族自治州,15.214,19.978,2.799,2.048,0.189,63.313,0.885,0.148,287.615,86.032,72634.665,26.916,98.885
云南,文山壮族苗族自治州,22.482,29.22,4.872,4.617,0.33,60.894,-1.541,-3.099,295.342,78.732,85804.009,23.696,104.735
云南,昆明市,22.358,34.8,7.899,13.572,0.443,66.539,-1.277,-0.418,292.68,73.125,78832.463,25.384,102.863
云南,昭通市,24.047,43.341,6.167,7.932,0.506,88.202,-0.836,0.178,294.86,76.272,83534.103,27.667,103.985
云南,普洱市,11.721,16.3,3.177,3.605,0.302,51.123,2.389,-1.775,295.757,77.201,85361.15,23.159,100.718
云南,曲靖市,24.479,38.079,9.589,12.726,0.548,66.229,-1.483,-0.843,292.187,78.238,79593.609,25.737,103.929
云南,楚雄彝族自治州,16.412,23.633,5.535,5.364,0.358,78.268,0.631,0.277,294.945,65.693,80511.13,25.328,101.567
云南,玉溪市,17.496,26.247,5.808,7.279,0.397,70.424,-0.81,-0.474,295.213,71.875,82914.388,24.136,102.217
云南,红河哈尼族彝族自治州,18.436,26.146,7.348,5.458,0.364,70.471,-1.247,-1.805,295.547,72.932,84504.097,23.451,103.034
云南,西双版纳傣族自治州,8.847,13.69,2.785,4.866,0.326,40.661,3.246,-2.193,296.998,77.088,88250.583,21.939,100.912
云南,迪庆藏族自治州,13.69,17.673,2.754,2.583,0.246,65.194,2.297,1.604,284.841,83.252,67276.603,27.957,99.459
内蒙古,乌兰察布市,19.717,26.625,6.752,7.953,0.289,87.457,0.094,2.244,297.328,49.538,85650.781,41.691,112.44
内蒙古,乌海市,21.07,36.872,14.15,13.728,0.648,88.958,-4.121,4.905,299.166,59.074,86998.44,39.396,106.856
内蒙古,兴安盟,19.307,20.973,2.025,1.985,0.164,60.983,5.687,-0.777,299.466,49.877,93878.456,46.244,121.341
内蒙古,包头市,21.244,31.561,6.596,14.806,0.384,88.678,-0.254,2.958,298.229,36.487,85566.916,41.549,110.276
内蒙古,呼伦贝尔市,15.226,17.024,2.19,1.468,0.193,59.922,5.815,2.264,294.748,64.463,92487.958,49.636,121.171
内蒙古,呼和浩特市,19.306,32.473,5.249,16.605,0.51,88.734,-1.283,1.517,296.78,54.871,85969.937,40.578,111.513
内蒙古,巴彦淖尔市,21.034,29.581,7.667,8.98,0.299,94.854,-2.184,3.324,299.102,38.84,86770.387,41.446,107.582
内蒙古,赤峰市,26.957,31.37,4.577,3.98,0.231,82.869,2.764,1.257,299.983,50.417,91325.937,43.226,118.892
内蒙古,通辽市,35.37,40.328,7.146,4.491,0.254,85.88,3.068,2.607,303.351,52.484,96834.035,43.814,121.591
内蒙古,鄂尔多斯市,23.477,33.122,8.893,8.633,0.474,91.904,-2.5,3.946,298.15,60.341,86492.968,39.407,108.63
内蒙古,锡林郭勒盟,25.26,26.458,2.685,1.736,0.148,74.724,2.009,1.54,298.167,43.039,88588.595,44.179,115.482
内蒙古,阿拉善盟,16.015,19.114,5.134,3.433,0.188,87.6,-4.541,1.413,300.435,32.308,86718.708,40.473,102.467
北京,北京市,41.134,64.876,5.633,14.292,0.725,97.138,-1.386,0.567,300.478,75.758,96934.617,40.158,116.395
台湾,台湾省,21.092,24.793,7.979,20.056,0.15,55.961,0.781,0.075,296.769,84.266,91902.242,23.757,120.975
吉林,吉林市,29.406,39.171,7.637,8.215,0.445,87.083,2.554,5.056,298.581,76.952,96392.581,43.573,126.859
吉林,四平市,38.453,53.238,8.745,12.268,0.537,102.214,2.791,6.676,300.688,73.124,98394.083,43.472,124.386
吉林,延边朝鲜族自治州,22.946,30.766,6.769,5.227,0.275,73.188,4.521,2.023,298.018,69.714,93672.718,43.141,129.147
吉林,松原市,35.604,45.315,8.574,5.876,0.327,90.018,2.925,5.662,302.885,62.467,98579.752,44.785,124.496
吉林,白城市,27.683,32.548,5.202,3.131,0.192,78.016,3.378,1.39,304.018,51.542,98600.374,45.35,123.031
吉林,白山市,21.295,29.901,7.305,6.531,0.48,65.136,2.514,3.648,296.075,72.316,91994.179,42.063,127.256
吉林,辽源市,31.97,43.81,7.759,9.882,0.488,100.462,4.18,5.428,299.101,75.778,96757.347,42.836,125.32
吉林,通化市,25.795,37.028,8.435,8.158,0.509,67.595,1.911,4.176,297.373,74.172,95196.606,41.939,125.927
吉林,长春市,35.469,52.226,5.886,11.63,0.546,94.101,3.186,5.994,300.759,72.778,98280.441,44.268,125.611
四川,乐山市,28.187,43.188,6.788,10.397,0.529,93.973,0.321,-0.141,297.497,78.208,88721.089,29.218,103.569
四川,内江市,21.5,45.183,9.301,16.784,0.581,118.675,-0.115,-0.099,301.804,73.308,95421.452,29.62,104.95
四川,凉山彝族自治州,19.321,26.761,6.716,3.714,0.464,89.955,-0.199,1.107,289.511,78.212,73985.525,27.883,102.065
四川,南充市,34.115,59.581,9.274,17.857,0.589,95.405,-1.683,0.1,302.312,69.369,95450.207,31.19,106.199
四川,宜宾市,27.302,45.076,6.489,11.486,0.564,104.696,0.451,0.093,301.146,71.046,93877.228,28.573,104.621
四川,巴中市,24.727,40.602,7.813,8.073,0.406,85.159,-2.588,0.925,300.025,70.588,91472.242,32.033,107.031
四川,广元市,23.474,39.679,8.98,8.9,0.416,70.822,-1.853,0.484,298.745,76.138,90627.675,32.261,105.788
四川,广安市,30.02,54.872,9.038,18.682,0.588,112.088,-1.082,1.958,303.227,62.774,95464.773,30.43,106.628
四川,德阳市,25.857,52.262,9.28,17.353,0.555,88.671,-1.032,-1.112,299.297,76.344,92087.169,31.13,104.436
四川,成都市,23.609,49.52,10.084,21.448,0.59,89.836,-0.954,-1.061,299.435,74.999,92221.968,30.64,103.929
四川,攀枝花市,23.487,36.099,16.904,9.279,0.861,102.406,-1.118,-0.284,295.736,60.72,81019.263,26.791,101.734
四川,泸州市,23.104,38.363,5.483,13.208,0.401,98.392,-0.373,1.262,300.709,67.216,92353.434,28.424,105.675
四川,甘孜藏族自治州,10.925,12.221,1.46,1.384,0.11,82.527,1.066,3.64,281.605,81.918,61392.529,30.936,100.009
四川,眉山市,23.857,47.583,8.842,16.796,0.602,94.135,0.222,-0.621,299.473,78.968,92652.144,29.912,103.766
四川,绵阳市,27.195,43.161,8.111,8.704,0.39,87.409,-0.477,0.083,296.401,78.545,87177.969,31.86,104.704
四川,自贡市,26.409,45.574,8.322,14.979,0.619,115.735,0.182,-0.418,301.728,74.133,95399.347,29.307,104.659
四川,资阳市,27.982,59.186,7.655,16.11,0.554,97.795,-0.451,-0.527,301.889,73.38,95653.079,30.102,105.149
四川,达州市,24.952,42.89,11.387,14.368,0.419,99.896,-2.233,1.347,301.445,65.455,92969.609,31.335,107.636
四川,遂宁市,34.327,66.344,7.254,17.876,0.549,90.855,-0.742,-0.748,302.363,70.949,95870.239,30.642,105.457
四川,阿坝藏族羌族自治州,18.037,22.351,4.416,1.714,0.173,73.828,-0.32,4.193,283.634,83.605,65643.944,32.406,102.61
四川,雅安市,23.09,32.46,6.862,4.924,0.306,93.533,-0.398,-0.498,291.68,83.827,79651.165,29.932,102.689
天津,天津市,56.581,85.839,10.03,26.202,0.962,126.107,-3.368,2.277,303.066,62.484,100380.191,39.315,117.308
宁夏,中卫市,19.711,29.102,7.246,5.934,0.471,77.989,-1.069,6.882,297.522,59.705,82977.26,37.018,105.509
宁夏,吴忠市,19.931,28.704,7.065,5.11,0.323,85.108,-2.08,6.414,298.008,60.942,84526.977,37.454,106.577
